,,,,,,,,개복치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,여섯갈래민꽃게,,,장수기름가자미,,,,,,,,,,,,,얼룩볼락,,,,,,,,,,,,,,,통의바리,,,삿갓바위고둥,,돌돔,닭새우,가이석태속,,새조개,힐사이리사,,,,,은민대구알,,주둥치,,,,,,,,,,,,,,홍살귀상어,"빨강오징어과,Illex argentinus",,,,,
,,,,,,,,쥐치복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가시투성왕게,,,매듭가자미,,,,,,,,,,,,,눈볼락,,,,,,,,,,,,,,,자이언트그루퍼,,,언덕좁쌀무늬고둥,,옥돔,북쪽분홍새우,동등이석태,,코끼리조개,,,,,,청대구,,눈볼대,,,,,,,,,,,,,,,,,,,,
,,,,,,,,복어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,깨다시꽃게,,,마소치가자미,,,,,,,,,,,,,대서양붉은볼락,,,,,,,,,,,,,,,,,,"복족류,Zidona dufresnei",,적돔,큰징거미새우,대두이석태,,프로펠러조개,,,,,,남방대구알,,벤자리,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,털게,,,말가자미,,,,,,,,,,,,,대서양큰붉은볼락,,,,,,,,,,,,,,,,,,수랑,,실꼬리돔,아르헨티나붉은새우,대서양조기속,,갈매기조개,,,,,,민대구알,,둑중개,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,붉은대게,,,마설가자미,,,,,,,,,,,,,청회볼락,,,,,,,,,,,,,,,,,,,,금색돔,,붉은이석태속,,떡조개,,,,,,빨간대구,,"꼬리점눈퉁이과,Percophis brasiliensis",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,닭게,,,용가자미,,,,,,,,,,,,,"볼락,Sebastes miniatus",,,,,,,,,,,,,,,,,,,,붉퉁돔,네점발빨간새우,세네갈가이석태,,우럭조개,,,,,,대서양대구,,밀크피시,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"꽃게과,Callinectes sapidus",,,"가자미,Hippoglossus hippoglossus",,,,,,,,,,,,,"볼락,Sebastes viviparus",,,,,,,,,,,,,,,,,,,,진홍퉁돔,분홍새우,기타민어류,,농조개,,,,,,블루화이팅,,능성어,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,점박이꽃게,,,찰가자미,,,,,,,,,,,,,갈퀴볼락,,,,,,,,,,,,,,,,,,,,붉돔,백새우,수조기,,가리맛조개,,,,,,명태,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"게,GOLDEN CRAB",,,화살치가자미,,,,,,,,,,,,,"볼락,Sebastes flavidus",,,,,,,,,,,,,,,,,,,,황옥돔,도화새우,붉은이석태,,민물조개,,,,,,명태알,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"꽃게,Sanquerus validus",,,기름가자미,,,,,,,,,,,,,한볼락,,,,,,,,,,,,,,,,,,,,파랑비늘돔,부채새우,대서양통꼬마민어,,왕우럭조개,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,청색꽃게,,,"까지가자미속,Lepidopsetta  polyxystra",,,,,,,,,,,,,"볼락,Sebastes pinniger",,,,,,,,,,,,,,,,,,,,쥐돔,바나나새우,대서양꼬마민어,,갈맛조개,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"게,Cancer pagurus",,,유럽가자미,,,,,,,,,,,,,홍살치,,,,,,,,,,,,,,,,,,,,빛금눈돔,긴집게발새우,작은흑조기,,"대맛조개,Solen grandis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"가시투성왕게,Paralithodes brevipes",,,,,,,,,,,,,,,,"홍살치속,Sebastolobus altivelis",,,,,,,,,,,,,,,,,,,,흑점샛돔,가시배새우,"석태속,OTOLITHES CUVIERI",,"코끼리조개속,Panopea generosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"꽃게속,Portunus segnis",,,,,,,,,,,,,,,,"홍살치속,Sebastolobus alascanus",,,,,,,,,,,,,,,,,,,,무늬퉁돔,석모자주새우,쿠자조기,,조개,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"게,Cancer edwardsi",,,,,,,,,,,,,,,,"홍살치속,Sebastolobus altivelis",,,,,,,,,,,,,,,,,,,,"돔,Caulolatilus princeps",매미새우,보구치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"왕게과,Lithoides santolla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,열동가리돔,중하,대안이석태,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"꽃게과,Callinectes arcuatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,귀족돔,보리새우,"민어과,Macrodon ancylodon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"꽃게과,Callinectes bellicosus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,샛돔,"닭새우속,Panulirus argus",Plagioscion squamosissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"꽃게과,Callinectes bellicosus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"파랑비늘돔속,Scarus ghobban","새우,Litopenaeus schmitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,은행게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,불검퉁돔,"닭새우속,Panulirus cygnus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조나게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"양쥐돔속,Acanthurus mata","닭새우속,Panulirus homarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,왕게붙이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"어름돔속,Plectorhinchus polytaenia",긴뿔민새우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,황적퉁돔,홍다리얼룩새우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
